,dataset,fname,label,sublabel
118,a,set_a/normal__201106221418.wav,normal,
119,a,set_a/normal__201106221450.wav,normal,
120,a,set_a/normal__201108011112.wav,normal,
121,a,set_a/normal__201108011114.wav,normal,
122,a,set_a/normal__201108011115.wav,normal,
123,a,set_a/normal__201108011118.wav,normal,
124,a,set_a/__201012172010.wav,,
125,a,set_a/__201101051105.wav,,
126,a,set_a/__201101061552.wav,,
127,a,set_a/__201101091156.wav,,
128,a,set_a/__201101110659.wav,,
129,a,set_a/__201101152256.wav,,
130,a,set_a/__201101220549.wav,,
131,a,set_a/__201101241434.wav,,
132,a,set_a/__201102081033.wav,,
133,a,set_a/__201102081045.wav,,
134,a,set_a/__201102200848.wav,,
135,a,set_a/__201103011036.wav,,
136,a,set_a/__201103140236.wav,,
137,a,set_a/__201103170122.wav,,
138,a,set_a/__201103200518.wav,,
139,a,set_a/__201103201314.wav,,
140,a,set_a/__201103232251.wav,,
141,a,set_a/__201103241336.wav,,
142,a,set_a/__201104012144.wav,,
143,a,set_a/__2011040239.wav,,
144,a,set_a/__201105011546.wav,,
145,a,set_a/__20110501548.wav,,
146,a,set_a/__201105031730.wav,,
147,a,set_a/__201106010807.wav,,
148,a,set_a/__201106030607.wav,,
149,a,set_a/__201106031556.wav,,
150,a,set_a/__201106040930.wav,,
151,a,set_a/__201106061104.wav,,
152,a,set_a/__201106061215.wav,,
153,a,set_a/__201106100606.wav,,
154,a,set_a/__201106111419.wav,,
155,a,set_a/__201106120928.wav,,
156,a,set_a/__201106130440.wav,,
157,a,set_a/__201106150614.wav,,
158,a,set_a/__201106170857.wav,,
159,a,set_a/__201106171155.wav,,
160,a,set_a/__201106191034.wav,,
161,a,set_a/__201106211725.wav,,
162,a,set_a/__201106212102.wav,,
163,a,set_a/__201108011111.wav,,
164,a,set_a/__201108011113.wav,,
165,a,set_a/__201108011116.wav,,
166,a,set_a/__201108011117.wav,,
167,a,set_a/__201108222222.wav,,
168,a,set_a/__201108222225.wav,,
169,a,set_a/__201108222228.wav,,
170,a,set_a/__201108222234.wav,,
171,a,set_a/__201108222241.wav,,
172,a,set_a/__201108222244.wav,,
173,a,set_a/__201108222247.wav,,
174,a,set_a/__201108222254.wav,,
175,a,set_a/__201108222257.wav,,
