#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
9	319000	958000	638168	64
24	2977000	6342000	4659418	14
34	7420000	11132000	9275893	10
56	5962000	17888000	11925078	12
69	4912000	7369000	6140343	6
106	1576000	4731000	3153397	9
122	6222000	9334000	7777997	5
124	5461000	9315000	7387897	6
139	826000	1765000	1295360	106
140	688000	2067000	1377933	7
158	2253000	3380000	2816290	18
159	2436000	3655000	3045648	40
160	911000	1367000	1139090	74
162	2365000	4258000	3311441	10
164	1779000	2669000	2224027	5
172	3103000	4655000	3879078	7
173	3701000	5552000	4626336	307
174	3109000	4665000	3887007	44
192	3550000	10651000	7100241	31
193	5968000	9403000	7685216	4
195	1410000	2116000	1763037	11932
196	1410000	2116000	1762598	149
197	1374000	2063000	1718573	29825
198	1426000	2140000	1782667	43
199	1328000	2539000	1933642	226
201	1192000	1877000	1534291	310
204	1575000	2800000	2187351	11
206	1402000	2105000	1753386	9
210	1304000	1958000	1630904	1608
212	1221000	1833000	1527018	8
213	1704000	2557000	2130337	38
214	1287000	1931000	1609110	23
215	1752000	2629000	2190812	4
216	1764000	2647000	2205704	5
235	2627000	3941000	3283799	249
236	2632000	3949000	3290674	17
238	3129000	4694000	3911419	25
247	2335000	4938000	3636346	5
250	2599000	7798000	5198625	5
253	3763000	6083000	4922946	23
254	3294000	5214000	4253895	5
256	3351000	5027000	4188881	5
258	4142000	6215000	5178391	4
263	1461000	2193000	1826738	243
266	2545000	7636000	5090332	9
274	1664000	2624000	2144289	13
277	2446000	3671000	3058615	4
285	3837000	7462000	5649348	17
287	5167000	8093000	6629798	5156
292	6299000	10670000	8484469	136
293	1674000	5024000	3349074	13
294	4129000	8654000	6391369	200
296	4057000	6087000	5072204	21
298	4952000	8233000	6592554	10
300	2607000	7824000	5215600	22
301	2436000	7311000	4873436	22
303	3374000	8780000	6077201	129
305	4245000	6798000	5521368	123
316	2161000	6484000	4322621	263
317	4458000	7743000	6100327	374
329	2627000	7884000	5255848	18
337	5152000	8333000	6742357	8
339	4004000	6007000	5005134	70
343	3543000	5546000	4544764	55
346	4185000	6278000	5231309	182
347	3272000	5655000	4463624	450
353	3915000	5874000	4894338	8
354	4292000	6439000	5365318	5
358	3700000	7543000	5621319	72
359	3803000	9993000	6897855	21
373	4708000	7199000	5953181	39
375	5687000	13356000	9521455	20
380	5485000	8229000	6857480	20
381	3881000	9283000	6581958	22
382	5542000	8314000	6927809	234
384	6128000	9194000	7661103	298
396	5383000	8076000	6729303	22
398	5003000	9280000	7141541	7
399	5147000	7721000	6434105	6
408	2861000	8586000	5723986	10
421	4041000	6063000	5051681	5
435	2915000	4374000	3644673	7
436	2812000	4219000	3515485	10
438	1827000	4593000	3209998	29
442	1528000	4317000	2922384	15
446	2755000	4134000	3444702	819
447	3297000	4947000	4121711	5
450	2146000	6152000	4149158	7
451	2623000	3935000	3279015	6
452	2666000	4000000	3333033	4
453	2841000	4263000	3552239	5
454	2460000	3691000	3075359	7
455	2699000	4050000	3374426	4
456	2469000	3705000	3087141	6
463	3084000	4628000	3856043	4
464	3030000	4600000	3815052	6
466	2890000	4337000	3613342	4
470	3176000	4765000	3970469	4515
471	3141000	4713000	3926967	21
477	2134000	3473000	2803373	6
480	1527000	2292000	1909668	198
483	1499000	2250000	1874499	6
484	1809000	2714000	2261439	10
485	1715000	2574000	2144769	648
486	1748000	2623000	2185479	39
487	1702000	2554000	2127622	1965
488	1643000	3391000	2516931	10
489	1672000	2510000	2090849	6
490	1685000	3357000	2521351	13
492	1768000	2653000	2210448	4
495	1918000	2878000	2397678	16
504	1521000	2283000	1901956	48
511	3260000	4891000	4075263	35
518	4159000	6240000	5199729	93
519	3819000	5729000	4773907	87
520	3284000	4927000	4105340	1039
521	2985000	4479000	3732255	23
529	3518000	6291000	4904693	39
536	3803000	5706000	4754524	19
539	1794000	2692000	2243138	20
542	1683000	2525000	2103871	29
545	3859000	5789000	4823945	36
546	3951000	6604000	5277501	194
548	4205000	6309000	5257045	227
549	2430000	7293000	4861351	48
550	3792000	6097000	4944595	554
552	3067000	4602000	3834314	36
553	3838000	5912000	4874949	59
554	3883000	5825000	4854084	33
556	3779000	5669000	4723912	5
562	3945000	6316000	5130379	21114
563	3322000	4985000	4153503	4
564	3765000	5648000	4706508	18
565	2465000	6325000	4394826	6
569	3757000	5636000	4696389	27
571	4823000	7463000	6142565	286
573	4471000	6708000	5589708	8999
575	4711000	7068000	5889790	31
577	4528000	6793000	5660164	11
580	3979000	6111000	5044663	5
582	2905000	4926000	3915682	65
584	3192000	4789000	3990122	169
585	3051000	4835000	3943379	14
587	3799000	5700000	4749568	25
588	3507000	5315000	4411042	29
614	4244000	6368000	5306050	16
615	4154000	6232000	5193027	520
618	4178000	6268000	5222818	4
621	3218000	5832000	4525323	123
622	3314000	5928000	4621087	60
623	3638000	5459000	4548381	827
624	3711000	5568000	4639236	1814
628	2293000	6880000	4586662	7
630	2789000	6262000	4525312	383
631	3934000	5903000	4918458	29
632	3674000	5512000	4592682	481
633	3768000	5654000	4711201	309
634	3443000	5165000	4304004	14
636	2781000	4659000	3720168	23
644	3949000	5925000	4937118	83
645	3844000	5767000	4805179	66
646	3745000	5618000	4681508	10
648	3623000	5436000	4529677	42
650	3741000	5613000	4676941	7
651	3650000	5476000	4562665	9
652	3396000	5095000	4245323	4
654	3693000	5540000	4616572	96
656	3668000	5503000	4585624	8
659	3653000	5480000	4566487	24
661	3886000	5830000	4857788	26
663	4046000	6465000	5255839	49
666	3211000	4818000	4014995	1359
668	3393000	5091000	4242117	65
669	4698000	7048000	5873013	46
670	4077000	6117000	5097276	1399
672	3976000	5965000	4970391	182
673	3277000	4916000	4096279	9
674	3456000	5185000	4320286	25
675	3040000	4561000	3800176	6
676	3800000	5701000	4750671	25
680	2768000	8305000	5536223	38
685	2324000	6974000	4649007	10
687	2353000	7062000	4707829	4
689	4508000	6863000	5685218	10
691	4132000	6199000	5165066	8
703	2516000	5006000	3760880	22
714	1689000	2552000	2120456	81
715	1137000	3412000	2274482	29
716	1987000	2982000	2484636	7
726	1532000	2299000	1915087	59
727	1477000	2217000	1847368	750
728	1824000	3174000	2499017	17
729	1259000	2899000	2079145	43
730	1333000	2001000	1667484	17
731	1503000	2864000	2183418	49
732	1866000	2800000	2332869	23
733	1915000	2873000	2393977	4
735	1675000	2513000	2094031	8
738	1601000	2843000	2221986	97
739	1572000	2359000	1965468	9
747	1756000	2861000	2308413	200
750	1998000	2998000	2498025	27
758	1863000	2796000	2329729	16
770	856000	1486000	1170883	24
774	1129000	1695000	1412164	17
777	1605000	2408000	2006375	68
779	1166000	1750000	1457798	13
781	1005000	1508000	1256573	4
782	889000	1334000	1111520	13
783	1014000	1522000	1268231	12
784	1004000	3014000	2008987	17
785	889000	1335000	1112155	4
803	1265000	1898000	1581384	15
807	1565000	2349000	1957417	5
813	522000	1569000	1045969	163
817	4198000	6298000	5248186	283
818	4333000	8576000	6454620	238
820	3435000	6402000	4918178	167
821	4192000	6318000	5255326	238
823	3651000	6668000	5159573	103
827	1332000	1999000	1665702	8
831	2679000	6701000	4690056	10
833	2941000	4413000	3676859	4
837	1862000	2795000	2328547	66
839	2804000	4375000	3589472	8
847	1972000	2959000	2465377	7
849	1417000	2127000	1772479	4
850	2129000	3195000	2662384	6
851	1588000	3178000	2382847	69
853	1466000	4401000	2933344	100
856	2178000	4440000	3308930	7
859	1147000	3187000	2166823	43
860	1978000	2968000	2472857	8
861	2831000	4247000	3539037	7
863	1429000	4289000	2858897	7
870	1093000	1640000	1366555	4
876	1648000	4947000	3297608	8
881	2987000	4482000	3734357	5
894	915000	2747000	1830802	10
897	3543000	5316000	4429203	4
901	1295000	3886000	2590431	8
905	1600000	2848000	2223956	8
907	1214000	3644000	2429033	14
915	2188000	3284000	2736036	5
916	1990000	3075000	2532595	7
920	1491000	4474000	2982397	9
930	2783000	4842000	3812971	13
945	939000	1410000	1174357	9
948	1108000	1896000	1502024	29
955	619000	1860000	1239682	16
959	2639000	4914000	3776243	8
964	4407000	6612000	5509723	5
971	1555000	4668000	3111387	15
979	3036000	4555000	3795066	4
986	2780000	8342000	5560987	10
989	3981000	5973000	4977085	4
996	2627000	3942000	3284579	21
1015	1910000	2866000	2387805	4
1018	2076000	3213000	2644537	6
1019	2398000	3598000	2997845	7
1035	3357000	5036000	4196438	4
1061	3011000	4517000	3764041	13
1063	3693000	5541000	4617388	24
1074	3774000	5662000	4717544	4
1076	3393000	7416000	5404117	19
1079	1862000	5587000	3724033	4
1085	1925000	5778000	3851869	4
1094	1494000	2540000	2017051	5
1097	1723000	2585000	2154946	1
1108	4206000	6310000	5258541	3
1126	2941000	6656000	4798108	66
1160	4351000	6527000	5439164	6
1176	2578000	7737000	5157544	6
1184	5614000	8423000	7018568	4
1219	851000	2554000	1702056	50
1229	2817000	4227000	3522111	5
1231	2587000	3882000	3234309	13
1238	2638000	4312000	3475061	80
1244	1623000	2436000	2029495	10
1245	1149000	2644000	1896413	81
1246	985000	2456000	1720683	25
1247	1494000	2286000	1890057	239
1249	1592000	2389000	1990597	23
1252	1416000	2126000	1771221	16
1254	1082000	2888000	1984877	42
1255	1409000	2252000	1830507	24
1260	1519000	2279000	1898976	22
1261	1675000	2514000	2094597	8
1264	1921000	5764000	3842428	13
1265	1696000	5091000	3393520	27
1267	1979000	2970000	2474230	5
1270	1437000	3561000	2499059	70
1273	1794000	3534000	2664372	5
1274	2475000	3721000	3098047	9
1275	3153000	4731000	3941791	12
1276	1842000	3394000	2618000	4
1280	2269000	3405000	2837143	11725
1281	2097000	3147000	2621846	9
1282	2018000	3029000	2523728	741
1283	2005000	3009000	2506715	256
1284	1690000	3254000	2472120	7
1285	2151000	3227000	2689141	8
1286	2127000	3191000	2658862	64
1288	2268000	3404000	2835922	57
1290	1797000	2697000	2247372	114
1292	2039000	3060000	2549441	63
1293	2348000	3523000	2935750	24
1295	1264000	3793000	2528396	11
1296	2147000	3388000	2767666	55
1299	1906000	4619000	3262497	6
1302	1752000	2630000	2190985	53
1303	1565000	2348000	1956519	114
1304	1749000	2625000	2186991	100
1305	1888000	2833000	2360223	61
1307	1430000	2762000	2095859	1302
1308	1279000	2385000	1831756	61
1309	1522000	2407000	1964328	200
1310	1686000	2530000	2108084	55
1311	1659000	2508000	2083315	1238
1313	1676000	2515000	2095407	21400
1314	1436000	2155000	1795393	2601
1318	1063000	3190000	2126190	61
1326	1885000	2828000	2356622	4
1328	1475000	2439000	1956946	69
1329	1694000	2617000	2155666	9
1334	1082000	3247000	2164534	81
1335	1408000	2342000	1875197	44
1336	1703000	2556000	2129800	257
1338	1553000	2331000	1942413	45
1340	1623000	2436000	2029463	8
1343	1455000	2340000	1897564	9
1346	1596000	2395000	1995177	91
1348	1655000	2513000	2084320	24
1349	1540000	2311000	1925503	39
1351	1938000	3986000	2961815	1461
1352	1963000	3882000	2922503	1842
1353	2228000	4578000	3403247	38
1354	2056000	3794000	2924806	63
1355	2017000	3027000	2522431	4
1358	1820000	3190000	2505069	223
1363	1634000	2453000	2043653	29
1364	1812000	2719000	2265163	5
1366	1824000	2737000	2280761	5
1376	1159000	2901000	2030159	38
1377	1002000	3008000	2004806	8
1379	1532000	2300000	1916192	5
1390	3168000	4753000	3960792	80
1392	4355000	6533000	5444014	203
1393	5172000	7759000	6465091	12
1396	4158000	7344000	5750949	1077
1397	2548000	7646000	5097246	11
1398	1978000	4869000	3423284	32
1399	2894000	6714000	4803910	5
1401	5649000	8475000	7062432	5
1402	3408000	5113000	4260287	175
1404	3911000	7326000	5618359	123
1405	4412000	6888000	5650193	72
1406	4609000	6915000	5761932	45
1408	2955000	4713000	3834262	80
1421	3294000	5971000	4632838	30
1422	1769000	3991000	2879681	15
1423	3305000	4959000	4131711	310
1426	3125000	4689000	3907140	11
1428	4461000	7651000	6056098	576
1451	5602000	8404000	7003096	9
1452	3303000	4956000	4129415	32
1455	3183000	4776000	3979584	8
1462	2853000	4281000	3567073	6
1464	3387000	5317000	4352378	13
1465	4163000	6304000	5233406	23
1471	2793000	4191000	3492228	6
1472	5681000	8523000	7102047	4
1478	4516000	6775000	5645783	19
1479	2587000	3882000	3234473	4
1482	3113000	4722000	3917759	5
1488	3272000	4910000	4091215	11
1490	2853000	4281000	3566801	9
1491	2184000	5634000	3909258	237
1492	3677000	5517000	4597006	32
1494	2020000	3032000	2525868	5
1496	3295000	4944000	4119930	2400
1501	3401000	5303000	4352101	9
1502	2070000	4882000	3475916	153
1504	2681000	4023000	3351844	4
1505	2803000	4206000	3504247	52
1509	3044000	5160000	4102016	34
1510	2404000	3607000	3005000	4
1512	3965000	5948000	4956289	12
1513	2269000	3404000	2836343	43
1515	2846000	4270000	3558236	12
1517	2195000	3294000	2744286	6
1519	2423000	3694000	3058465	12
1520	4230000	7736000	5982920	25
1522	3630000	5447000	4538365	12
1525	2096000	3145000	2620223	18
1529	2684000	4236000	3460249	5
1531	3801000	7372000	5586179	21
1542	2007000	3012000	2509966	10
1547	2841000	4633000	3736723	12
1559	3118000	4678000	3897924	5
1561	2470000	3706000	3087740	11
1571	2689000	4035000	3362333	5
1575	1343000	4030000	2686418	7
1579	1372000	2568000	1969954	42
1580	1898000	3210000	2554125	67
1581	2035000	3054000	2544838	23
1582	2360000	3642000	3001027	26
1583	1595000	2922000	2258481	29
1584	1190000	2556000	1872918	73
1587	1579000	2539000	2059242	59
1588	1948000	3360000	2654177	5
1589	2994000	4492000	3743063	24
1590	2589000	3884000	3236468	467
1596	1324000	2510000	1916716	44
1597	2339000	3635000	2987352	179
1598	1454000	2782000	2117927	182
1599	1594000	2392000	1992535	51
1600	635000	1906000	1270060	24
1601	1750000	2626000	2187893	14
1604	1164000	2936000	2049624	15
1605	1341000	2391000	1865693	9
1606	1302000	1954000	1627651	18
1610	2263000	3396000	2829178	9
1612	1984000	2978000	2480845	5
1613	1463000	2517000	1989908	68
1614	1101000	1653000	1376905	7
1618	1851000	3336000	2593336	5
1622	1250000	3246000	2248077	18
1623	1663000	2608000	2135397	48
1624	1407000	2643000	2024852	90
1625	1045000	1568000	1306559	22
1629	770000	2312000	1541323	6
1630	802000	2409000	1605683	18
1633	1474000	2212000	1843060	4
1638	2310000	3466000	2887899	28
1639	2420000	3632000	3026138	27097
1640	2307000	3462000	2884667	6
1641	2082000	3124000	2602779	5
1642	2328000	3494000	2911135	67
1648	1422000	2134000	1778058	11
1650	2302000	3454000	2878279	5
1655	2517000	3776000	3146420	22
1657	1820000	2731000	2275281	4
1660	1915000	2873000	2393758	7
1661	1868000	2804000	2336146	18
1680	1697000	2708000	2202982	299
1681	1762000	2644000	2202787	103
1683	1611000	2418000	2014541	6
1684	1722000	2585000	2153743	14
1685	1728000	2929000	2328739	108
1686	1636000	2661000	2148612	16
1689	1438000	3832000	2634722	18
1694	1613000	2421000	2016784	75
1697	2232000	3349000	2790185	4
1703	3136000	4705000	3920172	7
1705	2280000	3421000	2850414	6
1710	3172000	5355000	4263630	12
1717	1955000	2934000	2444560	223
1718	2620000	3931000	3275235	53
1719	1870000	2806000	2337911	120
1724	1870000	2806000	2338129	5
1725	2199000	3300000	2749912	5
1727	1594000	4784000	3189129	6
1735	1878000	3116000	2497184	8
1736	3441000	5163000	4302254	6
1741	721000	2166000	1443381	9
1744	1309000	3929000	2618941	50
1747	2001000	3003000	2501898	275
1748	2910000	4367000	3638672	8
1749	2425000	3639000	3032477	5
1750	1702000	5108000	3405117	9
1764	3930000	6454000	5192099	209
1766	5086000	7631000	6358417	23
1767	4425000	6639000	5531745	22
1768	5130000	7696000	6412855	34
1769	2613000	3921000	3267128	6
1771	4251000	6377000	5313907	9
1772	5468000	8203000	6835212	23
1773	3503000	5255000	4379158	6603
1774	3545000	6686000	5115523	47
1778	5937000	8907000	7422490	6
1780	4532000	6799000	5665471	7
1781	5059000	7589000	6323868	25
1790	4751000	7128000	5939987	10
1795	4337000	6506000	5421383	7
1800	4787000	7181000	5983816	4
1809	4436000	6655000	5545026	8
1823	6089000	9135000	7611812	4
1824	5563000	8346000	6954811	4
1828	4719000	7080000	5899978	29
1829	3661000	8546000	6103396	14
1830	4458000	6689000	5573528	12
1833	5445000	8168000	6806506	25
1836	6516000	9776000	8145944	4
1874	4120000	8705000	6412650	4
1886	5640000	8461000	7050034	44
1888	3869000	11610000	7739621	16
1894	5789000	12595000	9192027	5
1901	6454000	10603000	8528397	5
1902	6372000	10796000	8583997	12
1905	6248000	10245000	8246577	4
1906	4406000	9953000	7179255	6
1908	5861000	9472000	7666521	5
1911	5387000	10671000	8029206	21
1912	7539000	12728000	10133809	10
1914	6054000	10879000	8466185	7
1927	7524000	11447000	9485098	37
1930	7999000	12000000	9999314	17
1938	5372000	14003000	9687428	7
1969	6612000	11354000	8983317	6
2014	5251000	7878000	6564376	4
2021	2899000	4349000	3623858	6
2026	1308000	3926000	2616768	4
2033	2698000	4620000	3658842	13
2035	3044000	4567000	3805791	6
2039	706000	1061000	883379	19
2045	4507000	6761000	5633954	4
2047	1994000	2992000	2492765	12
2051	1651000	2642000	2146480	5
2052	1989000	2985000	2487452	8
2055	4539000	6810000	5674554	8
2074	4537000	10534000	7535285	5
2094	444000	855000	649573	4
2095	813000	1221000	1017179	14
2096	770000	1156000	963058	27
2097	463000	696000	579677	6
2098	472000	904000	688435	27
2099	727000	1092000	909287	12
2100	669000	1005000	837377	7
2102	811000	1358000	1084063	43
2104	653000	981000	817180	90
2109	653000	981000	817087	7
2110	722000	1112000	916706	5
2113	641000	963000	802237	8
2115	494000	1485000	989769	6
2130	551000	1151000	850655	20
2134	828000	1727000	1277393	4
2138	1239000	2831000	2034901	4
2148	1191000	1788000	1489849	11
2151	640000	961000	800236	12
2173	1480000	2292000	1886020	29
2198	1154000	3463000	2308032	6
2208	3654000	5482000	4567676	6
2209	3262000	4894000	4078311	68
2234	1577000	2498000	2037571	5
2242	2000000	3001000	2500345	4
2252	3120000	4681000	3900353	4
2285	1776000	2666000	2221110	55
2287	2112000	3226000	2668974	10
2336	1495000	2244000	1869610	6
2371	2030000	3047000	2538474	87
2421	1000000	2950000	1975046	4
2426	4126000	6191000	5158569	10
2702	1142000	2068000	1605154	106
2718	2057000	3086000	2571547	6
2743	1994000	5985000	3989480	15
2748	2184000	3278000	2730877	41
2751	2792000	4248000	3519809	30
2754	2109000	3164000	2636275	6
2756	2036000	3055000	2545569	26
3076	46411000	69618000	58014393	6
3077	18865000	56598000	37731351	4
3483	332880000	998642000	665761022	8
3634	868904000	2606714000	1737808872	4
3656	269303000	431974000	350638871	5
3702	68656000	170350000	119502799	21
3711	153323000	459971000	306647165	4
3726	167712000	503138000	335424965	4
3760	168504000	252758000	210630859	4
3827	233265000	699796000	466530150	5
3847	771378000	1157068000	964223139	4
3880	319626000	479440000	399532933	6
3914	212224000	636674000	424449269	4
3981	690277000	1852765000	1271521020	4
3983	247734000	743203000	495468045	5
4072	2159466000	3645476000	2902471175	4
4081	390432000	1066257000	728344369	4
4097	2884839000	4327260000	3606049978	4
4182	128174000	384523000	256348445	4
4236	999651000	2998956000	1999303479	4
4432	592030000	888046000	740038125	4
4513	893967000	2681904000	1787935627	15
4530	225849000	519940000	372894514	32
4565	6329466000	18988400000	12658932691	7
4577	1073493000	3220482000	2146987947	12
4615	221256000	663770000	442512839	4
4639	352710000	529067000	440888556	4
4781	35727000	107184000	71455917	5
4784	32950000	79119000	56034254	7
4785	34027000	82706000	58366336	4
4792	40217000	67526000	53871265	9
4896	10251000	15378000	12814701	19
4909	5691000	15934000	10812555	11
4911	7972000	13723000	10847678	12
4922	7486000	11230000	9358152	33
4929	8501000	12752000	10626339	7
4932	8592000	14668000	11630239	796
4950	7597000	11396000	9496517	4
4952	16155000	24234000	20194619	21
4956	9620000	28862000	19241081	4
4959	9646000	14470000	12057801	10
5007	6433000	19300000	12866147	6
5011	10630000	15946000	13287634	4
5025	22093000	66282000	44187553	89
5037	18446000	55341000	36893449	6
5039	52220000	82134000	67176644	4
5059	29450000	44176000	36812870	61
5061	28449000	42674000	35561663	15
5062	30202000	45305000	37753705	94
5067	22863000	54987000	38925155	4
5076	25762000	38645000	32203368	5
5082	21976000	32965000	27470222	4
5127	35095000	52643000	43869019	18
5207	14772000	22160000	18466126	53
5270	16050000	24077000	20063391	7
5272	14453000	43361000	28906851	15
5286	10183000	30551000	20366904	16
5334	18909000	56729000	37819276	7
5341	24627000	36941000	30784025	5
5353	26541000	51342000	38941431	7
5476	11408000	17113000	14260076	51
5477	15234000	22853000	19043405	12
5478	9949000	14925000	12437482	16
5480	10398000	15599000	12998393	7
5482	11784000	17678000	14730965	4
5501	21460000	33443000	27451393	5
5507	38412000	64312000	51362141	222
5518	29326000	43990000	36658316	11
5530	30632000	45949000	38290275	4
5537	15935000	23903000	19919078	5
5544	32539000	48810000	40674614	5
5551	18470000	27706000	23087565	12
5580	21016000	35006000	28011387	54
5599	26799000	40200000	33499641	7
5660	16150000	48453000	32301632	5
5661	18572000	43885000	31228431	10
5664	15578000	46736000	31157250	5
5671	16051000	48154000	32102100	5
5691	13265000	39796000	26530440	4
5693	24000000	90000000	57000000	27
5741	8963000	13781000	11372106	15
5759	7197000	21592000	14394107	6
5807	6930000	11175000	9052537	18
5811	50205000	75309000	62757050	18
5821	14713000	22070000	18391509	5
5833	11539000	34619000	23078788	54
5850	19330000	28996000	24162957	5
5855	17205000	39689000	28447006	12
5860	15052000	22579000	18815353	6
5861	17927000	26891000	22408887	11
5868	5150000	7726000	6438007	7
6035	1830000	2746000	2288106	5
6192	938366000	1407551000	1172958462	4
6239	50776000	152329000	101552232	6
6293	63766000	104760000	84263234	4
6334	22430000	67292000	44861163	6
6337	24114000	72344000	48229247	6
7108	203596000	610790000	407192671	4
7159	639301000	1917904000	1278602094	5
7160	1005876000	3017631000	2011753607	4
7165	120119000	360360000	240239474	4
7227	103406000	171920000	137663075	22
7237	80547000	241642000	161094618	4
7240	52455000	157366000	104910032	11
7460	182447000	273672000	228059313	4
7937	808715000	1213073000	1010893997	4
7950	574999000	862499000	718748815	4
7955	1004929000	1732602000	1368765506	5
7962	921066000	1861547000	1391306936	5
8049	370362000	821787000	596074470	4
8090	475939000	1001707000	738822885	8
8187	486953000	786509000	636730919	4
8839	898594000	1347893000	1123243663	5
8962	587849000	1763550000	1175699628	4
9244	820386000	1230580000	1025482734	4
9258	1244762000	2440848000	1842804786	4
9305	1465769000	4397310000	2931539806	5
9483	1376252000	4128759000	2752505800	5
9544	1694147000	4048216000	2871181313	7
9606	1665540000	4057807000	2861673324	102
9612	1196349000	3589048000	2392698509	9
9668	1935990000	3379910000	2657950034	11
9704	1558281000	3200603000	2379442121	4
9739	1886043000	2829066000	2357554224	4
9823	1944717000	2917077000	2430896979	17
9940	1254461000	3763385000	2508923217	4
10029	1854492000	2781740000	2318115958	5
10090	1653942000	2984288000	2319115079	22
10243	178000	268000	222732	40
10244	157000	237000	197382	60
10245	132000	249000	190551	18
10255	148000	223000	185578	5
10266	119000	180000	149956	13
10273	129000	195000	162455	54
10279	152000	230000	191237	8
10298	118000	179000	148670	18
10310	56000	169000	112559	21
10376	97000	175000	136187	109
10407	2431	3999	3215	61
10454	108000	163000	135583	8
10493	83000	126000	104968	37
10497	151000	228000	189354	47
10537	24000	37000	30536	6
10561	5823	8734	7279	8
10570	6391	9586	7989	12
10665	135000	203000	168903	7
10678	49000	148000	98230	4
10754	33000	51000	41724	8
10821	2150	3225	2688	12
10826	2171	3256	2714	9
10827	1960	5881	3921	4
10832	2216	3324	2770	6
10834	2198	3297	2748	6
10840	2344	3517	2931	9
10847	4308	6463	5386	134
10879	10000	17000	13388	4
11002	4690	7035	5863	6
11034	9362	15000	11703	5
11036	9146	14000	11433	6
11072	8780	13000	10976	1
11079	8811	13000	11014	1
11082	8769	13000	10962	3
11103	7548	12000	9435	177
11234	12000	19000	15894	1
11250	12000	19000	15194	71
11269	15000	22000	19111	2
11292	9540	15000	11926	49
11320	10000	16000	13133	130
11552	10000	15000	12906	1
11676	7164	11000	8955	495
11709	8176	13000	10221	39
11723	7408	12000	9261	107
11983	6037	9056	7547	22
12110	6548	9823	8186	8
12211	7828	12000	9786	11
12216	7760	12000	9700	6
12287	3598	5397	4498	4
12305	4261	13000	8522	249
12475	1344	2016	1680	9
12558	3318	4977	4148	1
12585	5118	7677	6398	125
12637	8560	13000	10701	6
12639	2419	3628	3024	5
13373	4524000	6787000	5655539	83
13563	21598000	33694000	27645932	4
13684	28243000	46596000	37419743	24
13686	285214000	465046000	375129840	4
13689	3202000	5452000	4327402	5
13690	3089000	7626000	5357836	17
15368	125307000	311384000	218345867	4
22663	206754000	360474000	283613915	4
27291	9532000	14300000	11916116	12
27292	11152000	33457000	22304189	14
27293	9800000	14701000	12250173	4
27334	25652000	38479000	32065046	9
27337	27604000	41407000	34505775	15
27350	36523000	109572000	73047457	15
28025	1546000	2320000	1932687	79
28026	1702000	2807000	2254339	79
28028	2136000	3205000	2670053	4
28031	3731000	5597000	4664088	22
28034	2283000	4694000	3488572	8
28035	2057000	3087000	2571731	32
28037	1601000	2403000	2002353	136
28038	1552000	2329000	1940170	25
28051	1301000	3904000	2602283	5
28077	5549000	8571000	7060322	8
28080	1340000	2011000	1675142	333
28082	3514000	5272000	4393004	5
28084	2972000	4459000	3715643	4
28087	3286000	4931000	4108369	6
28090	2514000	4189000	3351302	22
28091	1732000	2599000	2165490	8
28094	5249000	7875000	6562118	4
28095	6768000	10153000	8460426	25
28101	4339000	6509000	5423909	5
28108	2294000	6884000	4588704	44
28110	1635000	2454000	2044934	9
28111	3442000	5164000	4303245	17
28112	2640000	3961000	3300179	13
28113	2900000	4352000	3626105	4
28115	1859000	2790000	2324569	7
28116	4682000	8757000	6719481	235
28117	1185000	3556000	2370432	5
28118	2729000	6274000	4501537	27
28125	1990000	2987000	2488416	8
28126	2538000	3808000	3172595	4
28127	2313000	3676000	2994087	4
28129	2445000	3669000	3056796	7
28130	2241000	3363000	2802052	7
28131	2220000	3331000	2775833	33
28132	2534000	3802000	3168230	5
28133	2223000	3441000	2831829	5
28134	2279000	3419000	2849142	5
28135	2534000	3802000	3168212	5
28141	3596000	5395000	4495674	454
28151	4295000	6443000	5368891	9
28152	3624000	5438000	4530867	35
28172	2261000	5243000	3752080	7
28173	5075000	7614000	6344256	17
28182	3755000	5634000	4694952	17
28183	3211000	4818000	4014447	40
28184	3426000	5141000	4283634	20
28188	1960000	2941000	2450113	12
28189	2134000	3202000	2667569	5
28197	1804000	2707000	2255642	44
28198	1624000	2563000	2093732	24
28200	1416000	2430000	1923327	16
28229	3157000	7589000	5373180	5
28251	1918000	2878000	2397867	7
28262	1603000	2404000	2003803	1
28264	1434000	2538000	1986154	5
28295	22000	34000	28029	44
28350	2207	3310	2759	5
28447	2640000	3961000	3300327	74
28448	2905000	4359000	3632022	9
28449	1809000	2715000	2262420	15
28450	5698000	8548000	7122634	1575
28452	3549000	5324000	4436408	5
28873	161000	243000	202247	4
28875	9017	28000	18034	2514
28876	14000	22000	17934	7
28898	1477000	2217000	1846966	14
28901	3800000	5701000	4750509	186472
28903	725000	1089000	907489	74
29311	3493000	5240000	4366495	5
29320	3746000	5620000	4683270	5
29347	2405000	4835000	3619905	7
29348	2099000	3150000	2624272	6
29361	2512000	3769000	3140523	4
29363	2887000	4332000	3609608	11
29378	2088000	3133000	2610210	25
29379	1800000	2701000	2250127	6
29380	2099000	3149000	2623776	10
29382	2104000	3215000	2659377	65
29384	2109000	3164000	2636278	6
29385	2093000	3140000	2616409	107
29388	1988000	2983000	2485086	84
29394	1498000	2303000	1900454	14
29419	1389000	2466000	1927523	4
29423	1386000	4160000	2773209	5
29430	2814000	4222000	3517917	23
29433	1847000	2772000	2309632	4
